date,base,quote,rate
2026-05-01,USD,JPY,158.01
2026-05-02,USD,JPY,156.62
2026-05-03,USD,JPY,156.63
2026-05-04,USD,JPY,157.22
2026-05-05,USD,JPY,157.54
